ce1,ce2,ce3,ce4,ce5,ce6,iv3,iv6,ce_index1,ce_index2,ce_index3,ce_index4,ce_index5,ce_index6,iv_index3,iv_index6,ce_w1,ce_w2,ce_w3,ce_w4,ce_w5,ce_w6,iv_w3,iv_w6,order_treatment,order,chose_given_color2,chose_given_color5,chose_info3,chose_info6,date,feedback,PC_label,risk_premium,amb_premium,delta24,delta12,delta14,delta45,delta15,pdelta24,pdelta12,pdelta14,PR,PA,VR,VA,diffellsberg,diffPR,diffPA,diffVR,diffVA,amb_attitude,ones,constant
9.875,10.875,10.125,10.625,9.375,10.625,0.05,-0.05,17,21,18,20,15,20,19,18,0,0,0,0,0,0,0,0,1,B,0.0,1.0,0,0,02-12,"It did not feel particularly useful because the composition of chips was never specified, so I could not judge whether or not there was a likelihood of it being the truth or a lie.",25,-0.125,-0.75,0.25,-1.0,-0.75,1.25,0.5,0.022988505747126436,-0.10126582278481013,-0.0759493670886076,1.0,-1.25,0.05,-0.05,3,4,-5,0,-1,seeking,1,All
14.5,14.5,14.5,9.875,9.875,8.875,-0.05,-0.05,32,32,32,17,17,13,18,18,0,0,0,0,0,0,0,0,0,A,1.0,0.0,1,0,02-12,"I didn't pay any attention to it. I thought it could be misleading and makes you think that you knew more information than you did and the best method was to just ignore it, especially as you didn't know the composition of the bag of chips.",15,4.5,4.625,4.625,0.0,4.625,0.0,4.625,0.31896551724137934,0.0,0.31896551724137934,0.0,0.0,-0.05,-0.05,-15,0,0,-1,-1,averse,1,All
9.875,10.125,9.875,9.875,9.875,9.875,4.0,4.0,17,18,17,17,17,17,36,36,0,0,0,0,0,0,0,0,0,A,1.0,1.0,0,0,02-16,"It was tricky and definitely played with my decision, but knowing it may have been not true made me stick to my original decision/gut feeling more. I think it wasn't useful in the sense that it made you second-guess yourself, but it definitely did give me something to think about, even though it may have not been true.",11,-0.125,0.0,0.25,-0.25,0.0,0.0,0.0,0.024691358024691357,-0.02531645569620253,0.0,0.25,0.0,4.0,4.0,0,1,0,17,17,neutral,1,All
9.875,10.375,9.875,9.875,10.125,10.125,-0.05,-0.05,17,19,17,17,18,18,18,18,0,0,0,0,0,0,0,0,1,B,1.0,0.0,1,0,02-16,No,21,-0.125,0.0,0.5,-0.5,0.0,-0.25,-0.25,0.04819277108433735,-0.05063291139240506,0.0,0.5,0.25,-0.05,-0.05,0,2,1,-1,-1,neutral,1,All
9.875,8.875,8.125,11.875,9.875,10.125,-0.05,-5.0,17,13,10,25,17,18,18,0,0,0,0,0,0,0,0,1,1,B,0.0,0.0,0,1,02-16,"It was not useful, and did not affect my answer.",10,-0.125,-2.0,-3.0,1.0,-2.0,2.0,0.0,-0.3380281690140845,0.10126582278481013,-0.20253164556962025,-1.0,-2.0,-0.05,-5.0,8,-4,-8,-1,-19,seeking,1,All
7.875,7.875,6.75,4.0,4.0,4.0,-0.05,-0.05,9,9,5,2,2,2,18,18,0,0,0,0,0,0,0,0,0,A,0.0,1.0,0,1,02-12,The information was never useful because I did not know the composition of the chips in the bag determining whether it was a truth or a lie. If I had known the odds of it being a lie or truth I would have bet differently.,12,-2.125,3.875,3.875,0.0,3.875,0.0,3.875,0.49206349206349204,0.0,0.49206349206349204,0.0,0.0,-0.05,-0.05,-7,0,0,-1,-1,averse,1,All
14.5,14.5,10.375,10.375,10.375,10.375,0.05,0.95,32,32,19,19,19,19,19,28,0,0,0,0,0,0,0,0,0,A,1.0,0.0,0,0,02-12,"it did not seem helpful; it made me question the computer's description of the color drawn, and I therefore could not use this information in my answer",3,4.5,4.125,4.125,0.0,4.125,0.0,4.125,0.28448275862068967,0.0,0.28448275862068967,0.0,0.0,0.05,0.95,-13,0,0,0,9,averse,1,All
9.875,14.5,14.5,9.875,9.875,9.875,-1.1,-1.1,17,32,32,17,17,17,8,8,0,0,0,0,0,0,0,0,1,B,0.0,1.0,1,1,02-14,"Because it was nearly impossible to determine whether the ball drawn was the color as stated without knowing which chip was drawn, I feel it had very little impact on my final answer.",21,-0.125,0.0,4.625,-4.625,0.0,0.0,0.0,0.31896551724137934,-0.46835443037974683,0.0,4.625,0.0,-1.1,-1.1,0,15,0,-11,-11,neutral,1,All
4.0,4.0,4.0,4.0,4.0,4.0,-2.25,-0.05,2,2,2,2,2,2,3,18,0,0,0,0,0,0,0,0,0,A,0.0,0.0,1,1,02-12,this information did not affect my answer because I did not know the probability of it being a truth or lie,21,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.25,-0.05,0,0,0,-16,-1,neutral,1,All
9.875,9.875,9.875,9.875,9.875,9.875,-5.0,-5.0,17,17,17,17,17,17,0,0,0,0,0,0,0,0,1,1,1,B,0.0,0.0,1,1,02-14,It was not useful and did not affect my answer.,25,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,0,0,0,-19,-19,neutral,1,All
8.875,8.875,8.875,8.875,8.875,8.875,-0.05,-0.05,13,13,13,13,13,13,18,18,0,0,0,0,0,0,0,0,0,A,0.0,0.0,1,1,02-19,Not useful at all,6,-1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,-0.05,0,0,0,-1,-1,neutral,1,All
9.875,9.875,9.875,9.875,9.875,9.875,-0.05,4.0,17,17,17,17,17,17,18,36,0,0,0,0,0,0,0,0,1,B,1.0,1.0,0,0,02-12,did not receive info,13,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,4.0,0,0,0,-1,17,neutral,1,All
18.5,10.125,10.125,10.125,10.125,10.125,-0.95,1.9,34,18,18,18,18,18,9,33,0,0,0,0,0,0,0,0,0,A,0.0,0.0,0,0,02-19,It did not affect my answer because I didn't know if it was trustworthy.,12,8.5,8.375,0.0,8.375,8.375,0.0,8.375,0.0,0.4527027027027027,0.4527027027027027,-8.375,0.0,-0.95,1.9,-16,-16,0,-10,14,averse,1,All
7.875,9.875,9.875,9.875,7.875,7.875,1.1,-1.1,9,17,17,17,9,9,29,8,0,0,0,0,0,0,0,0,0,A,1.0,0.0,0,1,02-14,I decided that I would not consider this information and pretend like there was just a ball chosen. It helped me think more clearly about what to choose,18,-2.125,-2.0,0.0,-2.0,-2.0,2.0,0.0,0.0,-0.25396825396825395,-0.25396825396825395,2.0,-2.0,1.1,-1.1,8,8,-8,10,-11,seeking,1,All
12.125,13.25,12.875,16.0,12.875,13.25,-0.05,-0.05,26,30,29,33,29,30,18,18,0,0,0,0,0,0,0,0,1,B,0.0,0.0,1,1,02-14,It did not affect my answer at all. There was no way of knowing if it was the truth or a lie.,1,2.125,-3.875,-2.75,-1.125,-3.875,3.125,-0.75,-0.20754716981132076,-0.09278350515463918,-0.31958762886597936,1.125,-3.125,-0.05,-0.05,7,4,-4,-1,-1,seeking,1,All
11.125,11.625,9.875,10.125,10.125,10.125,-1.9,-1.9,22,24,17,18,18,18,4,4,0,0,0,0,0,0,0,0,0,A,0.0,1.0,1,0,02-14,It did. The drawing of the chip would tell me info about my odds of success,19,1.125,1.0,1.5,-0.5,1.0,0.0,1.0,0.12903225806451613,-0.0449438202247191,0.0898876404494382,0.5,0.0,-1.9,-1.9,-4,2,0,-15,-15,averse,1,All
